known_synonym,matchms_default
ch$link:lipidmaps,lipidmaps
ch$link:misc,link
ch$link:nist,nistid
ch$link:pubchem,pubchem
ch$link:pubmed,pubmed
ch$link:united_nations,unitednationsnumber
ch$name,compound_name
ch$nominal_mass,nominalmass
ch$smiles,smiles
colenergy,collisionenergy
collision_energy,collisionenergy
collision_gas,collisiongas
collision-energy-voltage,collisionenergy
collisiongas,collisiongas
column,columnname
columnname,columnname
comment:analysis_id,analysisid
comment:analysis_name,analysisname
comment:confidence,confidence
comment:datacollector,datacollector
comment:filename,filename
comment:inchiaux,inchiaux
comment:peptide_modifications,peptidemodifications
comment:peptide_sequence,peptidesequence
comment:pi,principalinvestigator
comment:salt,salt
comment:salt_mix_cas,saltmixcas
comment:scans,scans
comment:structure,structure
comment:submituser,submituser
comments,comment
compound id,spectrumid
compound_name,compound_name
compound_type,compoundclass
compound_name,compound_name
cone_voltage,insourcevoltage
copyright,copyright
database-id,spectrumid
datacollector,datacollector
date,recorddate
db#,spectrumid
exact_mass,parentmass
exactmass,parentmass
filename,filename
fragmenation_method,fragmentationmode
inchiaux,inchiaux
instrument_type,instrumenttype
instrument-type,instrumenttype
ion_mode,ionmode
ion_source,ionization
ionimethod,ionization
ionization-mode,ionmode
ionpol,ionmode
ionpolarity,ionmode
isolation_width,isolationwindowtargetmz
isolationwidth,isolationwindowtargetmz
isolwidth,isolationwindowtargetmz
known_impurity,knownimpurity
libraryquality,confidence
license,license
link,link
mass_range,massrangemz
massrange,massrangemz
massrangemz,massrangemz
maximum_intensity,basepeakintensity
ms$data_processing:charge_deconvoluted,chargedeconvolved
ms$data_processing:find_peak,dataprocessingfindpeak
ms$data_processing:software_system_id,softwaresystemid
ms$data_processing:whole,dataprocessingwhole
ms$focused_ion:base_peak,basepeak
ms$focused_ion:base_peak_intensity,basepeakintensity
ms$focused_ion:derivative_form,derivativeformula
ms$focused_ion:derivative_mass,derivativemass
ms$focused_ion:derivative_type,derivativetype
ms$focused_ion:ion_type,iontype
ms$focused_ion:isolation_width,isolationwindowtargetmz
ms$focused_ion:isolation_window_lower_offset,isolationwindowloweroffset
ms$focused_ion:isolation_window_upper_offset,isolationwindowupperoffset
ms$focused_ion:peak_width,peakwidth
ms$focused_ion:precursor_ion_purity,precursorionpurity
ms$focused_ion:precursor_m/z,precursor_mz
ms$focused_ion:precursor_type,adduct
ms_level,mslevel
mslevel,mslevel
msn_pathway,msnpathway
mw,nominalmass
name,compound_name
numpeaks,num peaks
ontology,compoundclass
organism,organismname
parentmass,parentmass
peakwidth,peakwidth
peptide_mods,peptidemodifications
peptide_sequence,peptidesequence
pi,principalinvestigator
pk$annotation,peakannotations
pk$num_peak,numpeaks
pk$splash,splash
precursor,precursor_mz
precursor type,adduct
precursor_charge,charge
precursor_mass,precursor_mz
precursor_type,adduct
precursorcharge,charge
precursorintensity,precursorintensity
precursormass,precursor_mz
precursortype,adduct
pressure,columnpressure
publication,publication
pubmed,pubmed
reagentgaspres,reagentgaspressure
reagentgaspressure,reagentgaspressure
reagention,reagention
record title,title
related_cas#,cas
retention_index,retentionindex
retentionindex,retentionindex
rettime,retentiontime
ri,retentionindex
rt,retentiontime
rt_query,retentiontime
rtinseconds,retentiontime
salt,salt
salt_mix_cas,saltmixcas
sample_inlet,sampleinlet
scans,scans
seq,peptidesequence
source_instrument,instrumenttype
sp$lineage,organismlineage
sp$link,samplelink
sp$sample,sample
sp$scientific_name,organismname
special_fragmentation,fragmentationmode
spectrum_type,mslevel
spectrumid,spectrumid
stdinchi,inchi
submituser,submituser
targetgas,targetgas
targetgaspres,targetgaspressure
targetgaspressure,targetgaspressure
title,title
submittecomputed_mass_erroname,compound_name
computed_smiles,smiles
computed_inchi,inchi
computed_inchikey,inchikey
